Month,Year,Canada,Mexico,Guatemala,El Salvador,Honduras,Nicaragua,Costa Rica,Panama,Jamaica,Dominican Rep,Trin/Tobago,Colombia,Venezuela ,Ecuador,Peru,Chile,Brazil ,Paraguay,Uruguay,Argentina,EU12,Sweden,Norway,Finland,Denmark,U.K.,Ireland,Luxembourg,Netherlands,France,Germany,Austria,Czech Rep,Hungary,Switzerland,Poland,Russia,Spain,Portugal,Italy,Greece,Turkey,Syria,Israel,Jordan,Kuwait,Saudi Arabia,India,Pakistan,Bangladesh,Sri Lanka ,Thailand,Malaysia,Singapore,Indonesia,Philippines,"China,PR",Korea,Hong Kong,Taiwan,Japan,Australia,New Zealand,Morocco,Algeria,Tunisia,Egypt,Cameroon,Senegal,Sierra Leone,Cote d'Ivoire,Ghana,Nigeria,Benin,Congo,Kenya,Tanzania,Mozambique,South Africa,Zambia
1,1970,1.106447312,9.375124132,7.529495893,20.2026738,14.3932123,0,272.8343147,0.510204306,54.06742104,25.58114663,8.191180791,1775.245799,1.475639696,15847.36496,802.6848509,168.4262835,1.013749955,3108.158556,20.38841935,1.255086951,0.680485937,7.012751142,9.168480507,0.982676854,9.299120154,0.8638913,1.16668601,1.052720387,1.218015553,1.007892411,1.054628031,1.337358205,15.84306863,403.5290815,2.434027895,0.150444547,14.06971342,1.445668737,1.337061757,0.983035311,1.065793258,1.089508247,33.10424143,3.418151111,0.625057397,0.212842037,1.256526972,21.74795661,18.2151082,16.21798872,34.06259213,27.45763358,2.235820091,1.707737885,3726.793737,33.19868674,3.484593271,984.0110775,4.362247792,36.82212108,217.9505247,1.49995735,2.141468307,7.044101291,53.61462806,1.212018978,3.007268944,603.5238494,415.6434025,2120.733343,599.3542297,0.519904823,90.4266451,218.7578784,1448.600395,86.95848233,553.3259409,3.546143421,4.412426759,4756.588208
2,1970,1.107865722,9.424494913,7.610536916,20.14792036,14.48256927,0,274.2711003,0.510710717,53.32677062,25.49597493,8.226114777,1794.196831,1.481381689,16069.60244,806.9119073,160.9175431,1.01505041,3115.994389,20.49578777,1.249737916,0.684120976,6.975094333,9.173996968,0.983610713,9.283470318,0.863686511,1.166362001,1.054979644,1.218115849,1.008063265,1.060843338,1.345118725,15.92781645,405.1646671,2.452537506,0.150102534,14.25809999,1.457482465,1.356603144,0.978985364,1.091878606,1.095245758,32.38817662,3.436151597,0.6243862,0.212907945,1.261996938,21.82775003,18.16332198,16.20299957,34.29156745,27.35945443,2.249583911,1.716731084,3746.41958,35.39670011,3.488408615,976.2179215,4.374542676,36.72034705,218.3623966,1.501518973,2.143709707,7.006126026,53.01341368,1.208528053,3.020301399,595.4071371,408.3969956,2086.755289,603.1255107,0.509241623,90.31256688,219.4861486,1453.8164,87.25189573,556.2398366,3.529169754,4.416423884,4733.820729
3,1970,1.112131742,9.446914346,7.778397471,20.20107228,14.50480587,0,275.721972,0.51120779,53.40700445,26.51120936,8.265487359,1797.431843,1.487691978,15870.81213,811.1804054,156.5921827,1.004334626,3135.305071,19.57399837,1.237299794,0.682717348,6.985519054,9.139395803,0.984574817,9.278079087,0.861482636,1.163432979,1.054659177,1.211822264,1.010530042,1.056993544,1.351042591,16.01332978,406.8100184,2.457196379,0.14976484,14.44935063,1.451022717,1.335681998,0.983476207,1.077073531,1.101039519,32.88950244,3.454328559,0.623698852,0.21296767,1.267505134,21.68368353,18.29322004,16.18840707,34.42310797,27.62474288,2.264807922,1.743314712,3784.778625,50.50466836,3.492310717,980.8460462,4.392434933,36.56772164,218.0700854,1.504329276,2.144893859,7.026555688,52.42018063,1.205075678,3.030763938,594.5352724,415.2425107,2053.367213,577.8801536,0.51193547,89.62633462,220.5548227,1448.589152,87.43917518,559.1823,3.524684457,4.403320708,4711.273631
4,1970,1.111929895,9.495181564,7.836554458,20.43167717,14.45799495,0,277.3982219,0.512085152,53.03534369,25.71360475,8.289415424,1794.487649,1.495204158,16112.45589,816.1119711,169.2369162,1.019187368,3165.916906,19.69299836,1.237221893,0.679899628,7.013141748,9.157245,0.986083889,9.318430228,0.853917465,1.153263874,1.056935853,1.213352787,1.009437287,1.048897454,1.356041694,16.11187899,408.7762731,2.478902104,0.149545269,14.65466765,1.451419266,1.350792414,0.980332657,1.063677637,1.107733281,32.75745274,3.475329126,0.623469918,0.21318286,1.274021411,21.57448202,18.35071022,16.18653096,34.40692368,27.96619123,2.277241486,1.736304516,4172.605709,50.30244415,3.498963183,983.3267724,4.415206866,36.59097417,216.9796229,1.509015607,2.148932912,7.155791882,51.87429714,1.202576952,3.046477128,594.0984379,416.0965284,2024.533632,608.6377269,0.515047778,88.46987358,221.369699,1441.808549,87.31548536,562.5818449,3.510651625,4.406870168,4692.51663
5,1970,1.116785731,9.509137785,7.741483703,20.48468784,14.53457875,0,278.6096293,0.512068637,52.58377976,26.6061628,8.302274111,1801.138497,1.504300393,16168.12124,819.6759598,166.0833999,1.015974111,3136.719536,19.77899835,1.230995067,0.681681275,7.019728212,9.206377637,0.990153046,9.275654593,0.855342221,1.155237898,1.061367694,1.215424849,1.007888,1.050903698,1.357262266,16.1833726,410.0461936,2.467535806,0.149071851,14.83760378,1.466373842,1.371177308,0.9844886,1.068322753,1.11257079,33.46003806,3.490506006,0.62214859,0.213024248,1.278375429,21.44612907,18.31169224,16.15710699,34.48235234,28.06356473,2.296554032,1.775022432,4485.52733,49.8924319,3.499661352,987.9130097,4.43555084,36.87774518,219.8282629,1.512791871,2.151449372,7.239928867,51.24672193,1.198040732,3.082152989,593.9083185,422.4355702,1995.105306,653.6267214,0.504364584,87.21073889,221.8638044,1458.003739,87.42545596,565.038659,3.490722932,4.430272204,4665.878919
6,1970,1.08489154,9.508372371,7.430866538,20.16416853,14.47623148,0,280.0605011,0.512458179,52.56913926,26.64078995,8.360532668,1801.486746,1.511101048,16135.07799,823.9444579,163.2106382,1.008732674,3161.609677,19.88199834,1.337846074,0.683387014,7.015472943,9.180307439,0.994374765,9.309896086,0.862020494,1.164159769,1.066525421,1.216656588,1.008932267,1.053529502,1.349999356,16.26871656,411.6574755,2.462666385,0.148724288,15.03539546,1.467588377,1.390092935,0.989615367,1.07388609,1.192922187,33.98102784,3.508682967,0.621317963,0.213034729,1.283801445,21.36436965,18.19450903,16.13693315,34.66192069,28.13341296,2.316422989,1.778119514,4479.324729,49.8515393,3.503288953,996.6920022,4.466949556,37.23519572,220.8929855,1.520144741,2.159282805,7.37808521,50.66910635,1.194520427,3.031703925,590.3014987,422.5146031,1970.109488,573.2230632,0.506991084,86.07098545,222.9230206,1452.751384,88.64872419,567.9811223,3.473812013,4.441768065,4643.274919
7,1970,1.077363535,9.495481509,7.5902368,20.04262853,14.57924362,0,281.0183581,0.511913502,52.27126901,27.12701632,8.382839196,1812.390277,1.5008887,16067.11543,826.7624955,176.0296171,1.005673551,3169.58282,19.94999834,1.391751158,0.685272433,6.976721256,9.104775563,0.993755295,9.160433005,0.858259031,1.159078858,1.064643947,1.21432927,1.009840951,1.05681263,1.344634907,16.32535988,412.5333474,2.463558327,0.148113705,15.2087329,1.446566483,1.391251251,0.9932526,1.090944799,1.122189557,33.52128199,3.520683291,0.619353589,0.21265999,1.28694147,21.37864287,18.19768593,16.08812603,35.11025536,28.18009523,2.315325873,1.764656289,4479.959058,48.78753662,3.500684643,1003.091026,4.492192694,36.92320274,221.9882791,1.525548968,2.164520072,7.359313441,50.00892174,1.188892725,3.07507443,597.547507,403.7572814,1944.279407,579.7971846,0.508725085,86.89198171,223.5070978,1456.980711,88.40010779,569.9237194,3.462902002,4.459184276,4612.564193
8,1970,1.068114841,9.462124366,7.747488445,20.4979564,14.23702829,0,281.4972866,0.510472206,52.36035287,26.77746436,8.368793759,1832.898059,1.491844769,19043.68145,828.1715143,171.2916284,0.987466232,3192.252655,19.03237937,1.37718913,0.686299947,6.956398593,9.107731904,0.992632933,9.15759904,0.863766214,1.166664053,1.064213202,1.205695588,1.008136951,1.058613714,1.349181601,16.35411502,412.6971409,2.462142856,0.147253383,15.35776084,1.424285045,1.383846507,0.983421694,1.106550016,1.124102061,33.80683556,3.526683453,0.616308221,0.211916862,1.287866215,21.3596225,18.12129379,16.01203678,35.11822521,28.45474537,2.330865773,1.767663724,4502.304868,48.90943625,3.492100304,1004.199652,4.501428548,36.4327656,222.3621101,1.525610039,2.161836923,7.331067719,49.2729344,1.181268026,3.055508851,592.7990326,402.0843288,1908.641106,576.9890591,0.509592085,87.04006829,223.9518971,1460.31019,88.38627403,570.895018,3.434115653,4.459754472,4574.220953
9,1970,1.070078674,9.492914317,7.755878306,20.47833177,14.70644494,0,282.9481584,0.510765216,52.44224772,26.57997904,8.340885127,1841.869221,1.492523243,21108.66086,832.4400124,168.5624344,0.97620821,3185.564756,19.1304746,1.351111514,0.689624204,7.002991037,9.066428329,0.997043962,9.123205633,0.863000653,1.165436305,1.069974114,1.202590545,1.009168097,1.064099243,1.352132875,16.43927289,414.2758006,2.473059633,0.146902253,15.5616594,1.42432607,1.384860839,0.983719771,1.091656028,1.883159702,33.98108016,3.347923725,0.615358569,0.211896486,1.293213116,21.36395907,18.37560447,15.9911908,34.99371508,28.55089957,2.326162612,1.785738571,4608.461511,48.73528557,3.495534293,997.193526,4.526462915,35.99514627,219.2468593,1.526516798,2.141506104,7.28389695,48.7149769,1.177734413,3.025192184,595.7680518,392.2339392,1884.601403,592.5213327,0.525352395,86.43460301,225.0063504,1467.624117,88.84182778,573.8374813,3.417297353,4.454140721,4551.819081
10,1970,1.080202294,9.532108938,7.950940028,21.26593912,14.86339114,0,284.384944,0.510996704,52.23882418,27.05215312,8.382332204,1863.906908,1.497102439,21171.35244,836.6670687,168.2418629,0.970310558,3219.163336,19.22761745,1.303528209,0.689768313,6.98028527,9.058747385,1.000692457,9.144616757,0.857395592,1.157864852,1.073561867,1.20313171,1.010792414,1.064497916,1.352709297,16.52354878,415.8217688,2.466678651,0.146540848,15.76706946,1.419589946,1.38454816,0.976645092,1.090468076,1.89272222,33.35936252,3.364924184,0.614332429,0.211850357,1.298466375,21.3335485,18.4093822,15.96915993,35.17141005,28.64529594,2.325026818,1.776877175,4639.74785,49.47947606,3.498706362,993.935067,4.542006836,36.29846211,216.9291824,1.524309925,2.07412428,7.286319412,48.15968579,1.174122341,3.027132077,602.9847497,405.2337758,1854.075316,608.7129208,0.541915353,87.93294329,226.1951078,1463.210895,89.29295868,576.751377,3.400303584,4.462927501,4529.183485
